 Table 1 ,,,,,,,,,,,,,,,,,,,,,  Page 1,,,,
,,,,,,,,,,, Tables : Ofcom News Research 2015 : QS9845 - 731337/731237/731338/731340 : September 2015 : QS9845 - 731337/731237/731338/731340 : September 2015,,,,,,,,,,,,,,
 QA Topics of interest,,,,,,,,,,,,,,,,,,,,,,,,,
 Base : All adults 16+,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 , , Sex,, Age (A),,,,,,, Age (B),,, Social Grade (A),,,, Social Grade (B),, Working Status,,,,,
  , Total (a), Male (b), Female (c), 16 - 24 (d), 25 - 34 (e), 35 - 44 (f), 45 - 54 (g), 55 - 64 (h), 65 - 74 (i), 75+ (j), 16 - 34 (k), 35 - 54 (l), 55+ (m), AB (n), C1 (o), C2 (p), DE (q), ABC1 (r), C2DE (s), Working (t), Not working (u),,,,
 Unweighted base,2921,1408,1513,368,512,421,426,358,479,357,880,847,1194,501,735,624,1061,1236,1685,1283,1638,,,,
 Weighted base,2921,1423,1498,344,557,519,487,364,380,269,901,1006,1014,529,774,678,940,1303,1618,1694,1227,,,,
 News and Current affairs,971,518,453,79,124,134,167,158,179,130,203,300,467,238,301,202,230,539,432,535,436,,,,
  , 33%defkq, 36%c,30%,23%,22%,26%, 34%def, 43%adefg, 47%adefg, 48%adefg,23%, 30%k, 46%akl, 45%apq, 39%apq, 30%q,24%, 41%as,27%,32%,35%,,,,
 , s, , , , , , , , , , , , , , , , , , , , ,,,,
 Sport,1139,814,325,164,234,193,192,135,130,92,397,385,357,228,314,272,325,542,597,723,416,,,,
  , 39%cqu, 57%ac,22%, 48%afghi, 42%ij,37%,39%,37%,34%,34%, 44%alm,38%,35%, 43%q, 41%q,40%,35%, 42%s,37%, 43%u,34%,,,,
 , , , , j, , , , , , , , , , , , , , , , , ,,,,
 Film and Cinema,1289,626,663,184,293,265,230,157,109,51,477,495,316,240,375,308,364,616,673,856,432,,,,
 , 44%ijmqu,44%,44%, 54%ahij, 53%ahij, 51%aij, 47%ij, 43%ij, 29%j,19%, 53%am, 49%am,31%, 45%q, 48%q, 45%q,39%, 47%s,42%, 51%au,35%,,,,
 Books,1251,474,777,117,187,204,228,188,190,137,305,432,514,286,373,250,342,659,593,695,557,,,,
  , 43%bdekp,33%, 52%ab,34%,34%,39%, 47%de, 52%adef, 50%adef, 51%adef,34%, 43%k, 51%akl, 54%apq, 48%apq,37%,36%, 51%as,37%,41%, 45%t,,,,
 , qs, , , , , , , , , , , , , , , , , , , , ,,,,
 Music,1565,757,808,226,324,287,269,185,165,109,550,556,459,287,433,352,493,720,845,939,626,,,,
  , 54%ijm,53%,54%, 66%afghi, 58%ij, 55%ij, 55%ij, 51%j,43%,40%, 61%alm, 55%m,45%,54%,56%,52%,52%,55%,52%, 55%u,51%,,,,
 , , , , j, , , , , , , , , , , , , , , , , ,,,,
 Politics,546,335,212,64,78,68,97,86,85,69,141,166,239,156,194,95,102,350,197,309,237,,,,
  , 19%cefpq, 24%ac,14%,19%,14%,13%, 20%ef, 24%ef, 22%ef, 25%adef,16%,16%, 24%akl, 29%apq, 25%apq,14%,11%, 27%as,12%,18%,19%,,,,
 , s, , , , , , , , , , , , , , , , , , , , ,,,,
 Business,315,231,85,51,55,51,71,45,32,11,105,122,88,90,116,59,51,205,110,241,74,,,,
 , 11%cjqsu, 16%ac,6%, 15%ij, 10%j, 10%j, 15%ij, 12%j, 8%j,4%,12%, 12%m,9%, 17%apq, 15%apq, 9%q,5%, 16%as,7%, 14%au,6%,,,,
 Cars\motoring,599,461,139,82,115,92,101,83,83,43,197,193,209,120,167,165,148,287,312,396,203,,,,
 , 21%cqu, 32%ac,9%, 24%j,21%,18%,21%,23%,22%,16%,22%,19%,21%, 23%q, 22%q, 24%q,16%,22%,19%, 23%u,17%,,,,
 Holidays\travel,1192,534,659,132,227,221,247,160,141,64,359,468,365,261,373,275,283,634,558,796,396,,,,
  , 41%jmqsu,38%, 44%b, 38%j, 41%j, 43%j, 51%adefi, 44%j, 37%j,24%,40%, 47%akm,36%, 49%apq, 48%apq, 41%q,30%, 49%as,35%, 47%au,32%,,,,
 , , , , , , , j, , , , , , , , , , , , , , ,,,,
 Cooking,1102,395,707,103,225,209,207,152,133,73,328,416,358,219,323,225,335,543,559,645,457,,,,
 , 38%bdj,28%, 47%ab,30%, 40%dj, 40%dj, 43%dij, 42%dj, 35%j,27%,36%, 41%m,35%, 41%p, 42%pq,33%,36%, 42%as,35%,38%,37%,,,,
 Fashion,539,107,432,82,122,114,93,50,42,36,204,207,129,72,170,124,173,243,297,324,216,,,,
 , 18%bijmn,8%, 29%ab, 24%ahij, 22%hij, 22%hij, 19%i,14%,11%,13%, 23%am, 21%m,13%,14%, 22%n,18%, 18%n,19%,18%,19%,18%,,,,
 None of these,146,69,77,6,26,12,12,24,36,30,32,25,89,17,20,37,71,37,108,52,94,,,,
 , 5%dflort,5%,5%,2%,5%,2%,2%, 7%dfg, 9%adefg, 11%adefg,4%,2%, 9%akl,3%,3%, 6%o, 8%ano,3%, 7%ar,3%, 8%at,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
" Fieldwork : 09/09/15 - 20/09/15, 30/09/15 - 04/10/15 (Weeks 37/38/40)",,,,,,,,,,,,,,,,,,,,,,,,,
 Proportions/Means: Columns Tested (5% risk level) - a/b/c - a/d/e/f/g/h/i/j - a/k/l/m - a/n/o/p/q - a/r/s - a/t/u,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 Table 2 ,,,,,,,,,,,,,,,,,,  Page 2,,,,,,,
,,,,,,,,, Tables : Ofcom News Research 2015 : QS9845 - 731337/731237/731338/731340 : September 2015 : QS9845 - 731337/731237/731338/731340 : September 2015,,,,,,,,,,,,,,,,
 QA Topics of interest,,,,,,,,,,,,,,,,,,,,,,,,,
 Base : All adults 16+,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 , , Nation,,,, Rural/Urban Split,, England Regions,,,,,,,,, Ethnic Group,,,,,,,,
  , Total (a), England (b), Scot land (c), Wales (d), N Ireland (e), Urban (f), Rural (g), S East (h), S West (i), E Mid lands (j), W Mid lands (k), York shire/ Humber side (l), E Anglia (m), N East (n), N West (o), London (p), White (q), Non-White (r),,,,,,,
 Unweighted base,2921,1782,367,422,350,2148,773,301,178,162,184,186,189,82,251,249,2577,326,,,,,,,
 Weighted base,2921,2446,251,143,82,2418,503,396,248,210,254,248,271, 125*,324,370,2469,427,,,,,,,
 News and Current affairs,971,781,104,53,33,781,190,168,108,71,87,57,66,36,89,99,883,81,,,,,,,
 , 33%lmpr,32%, 41%ab, 37%b, 40%ab,32%, 38%f, 42%almnop, 44%almnop, 34%l, 34%lm,23%,24%,28%,28%,27%, 36%r,19%,,,,,,,
 Sport,1139,936,105,62,36,928,210,164,101,90,107,85,88,47,137,117,990,141,,,,,,,
 , 39%pr,38%,42%, 44%b,44%,38%,42%, 41%p,41%, 43%p, 42%p,34%,33%,37%, 42%mp,32%, 40%r,33%,,,,,,,
 Film and Cinema,1289,1060,112,63,53,1078,210,198,123,100,106,77,103,57,137,159,1118,160,,,,,,,
 , 44%lr,43%,45%,44%, 65%abcd,45%,42%, 50%lm, 50%lm, 48%l,42%,31%,38%, 45%l, 42%l, 43%l, 45%r,37%,,,,,,,
 Books,1251,1038,116,63,34,1033,218,197,127,104,102,93,102,58,109,146,1109,131,,,,,,,
 , 43%or,42%,46%,44%,41%,43%,43%, 50%almop, 51%aklmop, 50%lmo,40%,38%,38%,46%,34%,39%, 45%r,31%,,,,,,,
 Music,1565,1314,125,79,47,1300,265,231,147,126,154,115,132,66,161,183,1357,199,,,,,,,
 , 54%r,54%,50%,56%, 58%c,54%,53%, 58%lmp, 59%l, 60%l, 61%lmop,46%,49%,52%,50%,49%, 55%r,47%,,,,,,,
 Politics,546,434,71,24,17,442,105,91,51,35,45,29,42,16,51,74,473,64,,,,,,,
 , 19%l,18%, 28%abde,17%,21%,18%,21%, 23%lo, 21%l,17%,18%,12%,16%,13%,16%, 20%l,19%,15%,,,,,,,
 Business,315,262,30,13,10,264,51,53,33,21,24,27,16,5,39,44,236,75,,,,,,,
 , 11%m,11%,12%,9%,12%,11%,10%, 13%mn, 13%mn,10%,10%,11%,6%,4%, 12%m, 12%m,10%, 18%aq,,,,,,,
 Cars\motoring,599,502,46,29,22,463,136,92,66,63,71,47,41,15,60,47,534,63,,,,,,,
 , 21%pr,21%,18%,21%, 27%abcd,19%, 27%af, 23%mnp, 27%mnp, 30%almnop, 28%amnop,19%,15%,12%,19%,13%, 22%r,15%,,,,,,,
 Holidays\travel,1192,989,108,49,46,989,203,180,107,97,110,91,95,42,131,138,1039,147,,,,,,,
 , 41%dr, 40%d, 43%d,35%, 56%abcd,41%,40%, 45%m,43%,46%,43%,37%,35%,34%,40%,37%, 42%r,34%,,,,,,,
 Cooking,1102,921,91,57,33,921,181,164,106,91,85,87,97,48,98,145,922,171,,,,,,,
 , 38%o,38%,36%,40%,41%,38%,36%, 41%o, 43%o, 43%o,33%,35%,36%,38%,30%, 39%o,37%,40%,,,,,,,
 Fashion,539,434,53,25,26,456,83,85,42,30,48,36,36,19,74,64,427,109,,,,,,,
 ,18%,18%,21%,18%, 32%abcd,19%,16%, 22%m,17%,14%,19%,14%,13%,15%, 23%lm,17%,17%, 26%aq,,,,,,,
 None of these,146,132,5,6,3,129,17,16,10,8,13,18,20,14,8,27,109,30,,,,,,,
 , 5%c, 5%c,2%,4%,3%,5%,3%,4%,4%,4%,5%, 7%o, 7%o, 11%ahio,2%, 7%o,4%, 7%q,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
" Fieldwork : 09/09/15 - 20/09/15, 30/09/15 - 04/10/15 (Weeks 37/38/40)",,,,,,,,,,,,,,,,,,,,,,,,,
 Proportions/Means: Columns Tested (5% risk level) - a/b/c/d/e - a/f/g - a/h/i/j/k/l/m/n/o/p - a/q/r,,,,,,,,,,,,,,,,,,,,,,,,,
 * small base,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 Table 3 ,,,,,,,,,,,,,,,,,,,  Page 3,,,,,,
,,,,,,,,,, Tables : Ofcom News Research 2015 : QS9845 - 731337/731237/731338/731340 : September 2015 : QS9845 - 731337/731237/731338/731340 : September 2015,,,,,,,,,,,,,,,
 QA Topics of interest,,,,,,,,,,,,,,,,,,,,,,,,,
 Base : All adults 16+,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 , , Device used for news,,, Platforms used for news (8 platforms),,,,,,,, Platforms used for news (4 Main Types),,,,,,,,,,,,
